證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2809   ,京城銀       ,20230630,      396,     0.0000,    13.1196
2305   ,全友         ,20230630,      203,     0.0000,   743.5987
2809   ,京城銀       ,20230703,      681,     0.1406,    13.1380
2305   ,全友         ,20230703,      331,    -0.4228,   740.4544
2809   ,京城銀       ,20230704,      676,    -0.1404,    13.1196
2305   ,全友         ,20230704,      318,    -1.0616,   732.5939
2809   ,京城銀       ,20230705,     4229,     1.9691,    13.3779
2305   ,全友         ,20230705,      319,    -1.0730,   724.7335
2809   ,京城銀       ,20230706,     1292,    -0.2759,    13.3410
2305   ,全友         ,20230706,      300,    -0.2169,   723.1614
2809   ,京城銀       ,20230707,      957,    -0.1383,    13.3226
2305   ,全友         ,20230707,      504,    -1.7391,   710.5848
2809   ,京城銀       ,20230710,      674,    -0.2770,    13.2856
2305   ,全友         ,20230710,      234,    -0.4425,   707.4406
2809   ,京城銀       ,20230711,      714,     0.2778,    13.3226
2305   ,全友         ,20230711,      543,    -2.0000,   693.2917
2809   ,京城銀       ,20230712,      531,    -0.1385,    13.3041
2305   ,全友         ,20230712,      734,    -2.9478,   672.8546
2809   ,京城銀       ,20230713,     1265,     0.1387,    13.3226
2305   ,全友         ,20230713,      584,     0.2336,   674.4267
2809   ,京城銀       ,20230714,      860,     0.1385,    13.3410
2305   ,全友         ,20230714,      335,     0.2331,   675.9988
2809   ,京城銀       ,20230717,     1392,     0.5533,    13.4148
2305   ,全友         ,20230717,      348,     1.6279,   687.0034
2809   ,京城銀       ,20230718,      912,     0.0000,    13.4148
2305   ,全友         ,20230718,      347,    -0.6865,   682.2871
2809   ,京城銀       ,20230719,     1272,    -0.2751,    13.3779
2305   ,全友         ,20230719,      376,     1.1521,   690.1475
2809   ,京城銀       ,20230720,     1001,     0.4138,    13.4333
2305   ,全友         ,20230720,      644,     2.2779,   705.8685
2809   ,京城銀       ,20230721,     1033,    -0.2747,    13.3964
2305   ,全友         ,20230721,      265,    -2.4499,   688.5754
2809   ,京城銀       ,20230724,     1931,    -0.9642,    13.2672
2305   ,全友         ,20230724,      507,    -3.8813,   661.8499
2809   ,京城銀       ,20230725,     2462,    -0.4172,    13.2118
2305   ,全友         ,20230725,      336,     3.0879,   682.2871
2809   ,京城銀       ,20230726,     1367,     0.5587,    13.2856
2305   ,全友         ,20230726,      259,    -2.7650,   663.4220
2809   ,京城銀       ,20230727,     1321,     0.1389,    13.3041
2305   ,全友         ,20230727,      205,     1.8957,   675.9988
2809   ,京城銀       ,20230728,     1449,     0.1387,    13.3226
2305   ,全友         ,20230728,      125,    -0.2326,   674.4267
2809   ,京城銀       ,20230731,     2225,    -0.2770,    13.2856
2305   ,全友         ,20230731,      357,    -0.2331,   672.8546
2809   ,京城銀       ,20230801,      672,     0.4167,    13.3410
2305   ,全友         ,20230801,      137,    -0.4673,   669.7104
2809   ,京城銀       ,20230802,     1227,    -0.5533,    13.2672
2305   ,全友         ,20230802,      369,    -1.4085,   660.2778
2809   ,京城銀       ,20230804,     4153,     2.0862,    13.5440
2305   ,全友         ,20230804,      462,    -0.2381,   658.7057
2809   ,京城銀       ,20230807,     1021,    -0.4087,    13.4886
2305   ,全友         ,20230807,      229,    -0.4773,   655.5615
2809   ,京城銀       ,20230808,     1000,     0.4104,    13.5440
2305   ,全友         ,20230808,      501,    -3.3573,   633.5524
2809   ,京城銀       ,20230809,      850,    -0.5450,    13.4702
2305   ,全友         ,20230809,      301,    -0.4963,   630.4082
2809   ,京城銀       ,20230810,      669,     0.1370,    13.4886
2305   ,全友         ,20230810,     3080,     9.9751,   693.2917
2809   ,京城銀       ,20230811,      696,     0.0000,    13.4886
2305   ,全友         ,20230811,     5464,    -2.4943,   675.9988
2809   ,京城銀       ,20230814,     1922,    -0.8208,    13.3779
2305   ,全友         ,20230814,     1359,    -5.8140,   636.6965
2809   ,京城銀       ,20230815,      837,     0.5517,    13.4517
2305   ,全友         ,20230815,      459,     0.7407,   641.4128
2809   ,京城銀       ,20230816,      755,    -0.5487,    13.3779
2305   ,全友         ,20230816,      296,    -1.4706,   631.9803
2809   ,京城銀       ,20230817,     1385,     0.1379,    13.3964
2305   ,全友         ,20230817,      324,     1.9900,   644.5569
2809   ,京城銀       ,20230818,      792,     0.1377,    13.4148
2305   ,全友         ,20230818,      165,    -1.2195,   636.6965
2809   ,京城銀       ,20230821,      605,     0.1376,    13.4333
2305   ,全友         ,20230821,      187,    -0.4938,   633.5524
2809   ,京城銀       ,20230822,     1179,     0.5495,    13.5071
2305   ,全友         ,20230822,      314,    -1.2407,   625.6918
2809   ,京城銀       ,20230823,      609,     0.0000,    13.5071
2305   ,全友         ,20230823,      158,     0.5025,   628.8361
2809   ,京城銀       ,20230824,      720,    -0.1366,    13.4886
2305   ,全友         ,20230824,      268,    -0.7500,   624.1197
2809   ,京城銀       ,20230825,     1173,     0.4104,    13.5440
2305   ,全友         ,20230825,      148,     0.0000,   624.1197
2809   ,京城銀       ,20230828,     1154,     0.5450,    13.6178
2305   ,全友         ,20230828,      129,     0.0000,   624.1197
2809   ,京城銀       ,20230829,      607,     0.4065,    13.6731
2305   ,全友         ,20230829,      107,    -0.2519,   622.5476
2809   ,京城銀       ,20230830,      688,     0.2699,    13.7101
2305   ,全友         ,20230830,      273,     2.0202,   635.1244
2809   ,京城銀       ,20230831,      971,    -0.6729,    13.6178
2305   ,全友         ,20230831,       53,    -0.9901,   628.8361
2809   ,京城銀       ,20230901,      413,     0.0000,    13.6178
2305   ,全友         ,20230901,       90,     0.2500,   630.4082
2809   ,京城銀       ,20230904,     1091,     1.3550,    13.8023
2305   ,全友         ,20230904,      145,    -0.2494,   628.8361
2809   ,京城銀       ,20230905,     1073,    -1.3369,    13.6178
2305   ,全友         ,20230905,      398,     3.0000,   647.7011
2809   ,京城銀       ,20230906,      808,    -0.5420,    13.5440
2305   ,全友         ,20230906,      308,    -1.6990,   636.6965
2809   ,京城銀       ,20230907,      936,    -0.2725,    13.5071
2305   ,全友         ,20230907,       86,    -0.9877,   630.4082
2809   ,京城銀       ,20230908,      624,     0.0000,    13.5071
2305   ,全友         ,20230908,       72,     0.0000,   630.4082
2809   ,京城銀       ,20230911,      714,    -0.1366,    13.4886
2305   ,全友         ,20230911,      141,     0.2494,   631.9803
2809   ,京城銀       ,20230912,      512,     0.4104,    13.5440
2305   ,全友         ,20230912,      243,     1.9900,   644.5569
2809   ,京城銀       ,20230913,      418,     0.1362,    13.5624
2305   ,全友         ,20230913,      272,     0.0000,   644.5569
2809   ,京城銀       ,20230914,      987,     0.9524,    13.6916
2305   ,全友         ,20230914,      590,     2.9268,   663.4220
2809   ,京城銀       ,20230915,     1369,     0.2695,    13.7285
2305   ,全友         ,20230915,      830,     3.7915,   688.5754
2809   ,京城銀       ,20230918,      943,     0.4032,    13.7839
2305   ,全友         ,20230918,     1713,     5.0228,   723.1614
2809   ,京城銀       ,20230919,      815,    -0.5355,    13.7101
2305   ,全友         ,20230919,      925,    -1.7391,   710.5848
2809   ,京城銀       ,20230920,      795,     0.4038,    13.7654
2305   ,全友         ,20230920,      824,    -2.6549,   691.7196
2809   ,京城銀       ,20230921,     1383,    -0.1340,    13.7470
2305   ,全友         ,20230921,      488,    -2.5000,   674.4267
2809   ,京城銀       ,20230922,     1392,    -0.9396,    13.6178
2305   ,全友         ,20230922,     1181,     6.9930,   721.5894
2809   ,京城銀       ,20230925,     1175,     1.0840,    13.7654
2305   ,全友         ,20230925,     1350,     0.8715,   727.8777
2809   ,京城銀       ,20230926,      850,     0.2681,    13.8023
2305   ,全友         ,20230926,      481,    -0.6479,   723.1614
2809   ,京城銀       ,20230927,      743,    -0.2674,    13.7654
2305   ,全友         ,20230927,      317,    -0.8696,   716.8731
2809   ,京城銀       ,20230928,      379,    -0.5362,    13.6916
2305   ,全友         ,20230928,      559,    -0.2193,   715.3010
2809   ,京城銀       ,20231002,      627,     0.2695,    11.1447
2305   ,全友         ,20231002,     1158,    -1.7582,          -
2809   ,京城銀       ,20231003,      759,    -0.2688,    11.1148
2305   ,全友         ,20231003,      469,    -1.5660,          -
2809   ,京城銀       ,20231004,     1887,     0.5391,    11.1747
2305   ,全友         ,20231004,      486,    -2.7273,          -
2809   ,京城銀       ,20231005,     1035,    -0.1340,    11.1597
2305   ,全友         ,20231005,      507,     0.4673,          -
2809   ,京城銀       ,20231006,      552,     0.2685,    11.1897
2305   ,全友         ,20231006,      200,    -1.3953,          -
2809   ,京城銀       ,20231011,     1767,     1.2048,    11.3245
2305   ,全友         ,20231011,      206,    -0.4717,          -
2809   ,京城銀       ,20231012,     1082,    -0.3968,    11.2796
2305   ,全友         ,20231012,     2332,     9.9526,          -
2809   ,京城銀       ,20231013,     2762,     0.9296,    11.3844
2305   ,全友         ,20231013,     1615,    -4.3103,          -
2809   ,京城銀       ,20231016,     1375,     0.0000,    11.3844
2305   ,全友         ,20231016,     1500,     1.3514,          -
2809   ,京城銀       ,20231017,     2213,     0.3947,    11.4294
